Graph,K,Seed,Cut,Epsilon,Balance,Time,NumNodes,NumMPIsPerNode,NumThreadsPerMPI,Failed
Bump_2911,16,1,2065641,0.030000,0.029995,0.417000,1,1,64,0
Cube_Coup_dt6,16,1,2081264,0.030000,0.028840,0.959000,1,1,64,0
Flan_1565,16,1,963036,0.030000,0.026503,0.799000,1,1,64,0
Geo_1438,16,1,851418,0.030000,0.029920,0.638000,1,1,64,0
HV15R,16,1,7088654,0.030000,0.029507,7.890000,1,1,64,0
Hook_1498,16,1,678991,0.030000,0.029981,0.310000,1,1,64,0
Long_Coup_dt6,16,1,1762603,0.030000,0.029863,0.726000,1,1,64,0
ML_Geer,16,1,551037,0.030000,0.029936,0.722000,1,1,64,0
Queen_4147,16,1,4855720,0.030000,0.027975,0.537000,1,1,64,0
Serena,16,1,1023160,0.030000,0.021918,0.668000,1,1,64,0
af_shell10,16,1,185600,0.030000,0.029866,0.257000,1,1,64,0
arabic-2005,16,1,1969050,0.030000,0.029826,1.554000,1,1,64,0
asia.osm,16,1,150,0.030000,0.019958,0.513000,1,1,64,0
audikw1,16,1,1417210,0.030000,0.029331,1.206000,1,1,64,0
bn-human-Jung2015_M87117515,16,1,1041320,0.030000,0.029969,0.987000,1,1,64,0
bn-human-Jung2015_M87122310,16,1,2537092,0.030000,0.029982,1.168000,1,1,64,0
bn-human-Jung2015_M87123142,16,1,1892972,0.030000,0.029976,0.427000,1,1,64,0
bn-human-Jung2015_M87126525,16,1,6702987,0.030000,0.029969,4.084000,1,1,64,0
bn-human-Jung2015_M87128519_1,16,1,13291350,0.030000,0.029971,2.361000,1,1,64,0
boneS10,16,1,241074,0.030000,0.029817,0.522000,1,1,64,0
cage15,16,1,2935010,0.030000,0.029996,0.648000,1,1,64,0
channel-500x100x100-b050,16,1,720681,0.030000,0.021324,0.492000,1,1,64,0
circuit5M,16,1,5787069,0.030000,0.029997,1.289000,1,1,64,0
com-Friendster,16,1,563515024,0.030000,0.030000,32.540000,1,1,64,0
com-lj.ungraph,16,1,6607710,0.030000,0.029998,0.762000,1,1,64,0
com-orkut.ungraph,16,1,31303512,0.030000,0.029999,2.127000,1,1,64,0
delaunay_n24,16,1,51609,0.030000,0.028605,0.686000,1,1,64,0
dewiki-2013,16,1,12618301,0.030000,0.029998,1.335000,1,1,64,0
dielFilterV3real,16,1,1168850,0.030000,0.029974,0.747000,1,1,64,0
enwiki-2022,16,1,41668483,0.030000,0.029999,1.927000,1,1,64,0
eswiki-2013,16,1,8089041,0.030000,0.029996,1.160000,1,1,64,0
europe.osm,16,1,1259,0.030000,0.024308,1.344000,1,1,64,0
frwiki-2013,16,1,11267735,0.030000,0.029987,1.462000,1,1,64,0
hollywood-2011,16,1,24714720,0.030000,0.029993,0.812000,1,1,64,0
imdb-2021,16,1,291242,0.030000,0.029999,0.420000,1,1,64,0
indochina-2004,16,1,362714,0.030000,0.029545,0.675000,1,1,64,0
it-2004,16,1,3231506,0.030000,0.027854,2.602000,1,1,64,0
itwiki-2013,16,1,9277100,0.030000,0.029990,1.198000,1,1,64,0
kmer_A2a,16,1,3807931,0.030000,0.003667,8.036000,1,1,64,0
kmer_P1a,16,1,3111475,0.030000,0.000000,6.250000,1,1,64,0
kmer_U1a,16,1,605907,0.030000,0.000000,2.838000,1,1,64,0
kmer_V1r,16,1,9602818,0.030000,0.000000,9.772000,1,1,64,0
kmer_V2a,16,1,340815,0.030000,0.000000,2.413000,1,1,64,0
kron_g500-simple-logn19,16,1,9760984,0.030000,0.029999,1.022000,1,1,64,0
kron_g500-simple-logn20,16,1,21253300,0.030000,0.029999,0.904000,1,1,64,0
kron_g500-simple-logn21,16,1,41516152,0.030000,0.029999,1.372000,1,1,64,0
ldoor,16,1,161910,0.030000,0.027775,0.490000,1,1,64,0
mawi_201512020000,16,1,17819761,0.030000,0.030000,2.142000,1,1,64,0
mycielskian19,16,1,368473272,0.030000,0.029989,44.196000,1,1,64,0
nlpkkt200,16,1,4006392,0.030000,0.029902,1.125000,1,1,64,0
nlpkkt240,16,1,5861813,0.030000,0.029982,1.593000,1,1,64,0
nv2,16,1,363352,0.030000,0.028227,0.344000,1,1,64,0
recomp_dna1GB_9,16,1,44904083,0.030000,0.029999,1.712000,1,1,64,0
recomp_english1GB_7,16,1,199242655,0.030000,0.029983,0.842000,1,1,64,0
recomp_proteins1GB_7,16,1,276554252,0.030000,0.029999,1.895000,1,1,64,0
recomp_proteins1GB_9,16,1,173193451,0.030000,0.029999,5.397000,1,1,64,0
recomp_sources1GB_7,16,1,31937973,0.030000,0.029999,0.481000,1,1,64,0
recomp_sources1GB_9,16,1,18005574,0.030000,0.029992,0.809000,1,1,64,0
rgg26_3d,16,1,1612163,0.030000,0.028091,2.434000,1,1,64,0
rgg26,16,1,224202,0.030000,0.028238,2.291000,1,1,64,0
rhg23,16,1,1444459,0.030000,0.029999,0.739000,1,1,64,0
rhg,16,1,20359,0.030000,0.029645,0.870000,1,1,64,0
rmat_n16_m24,16,1,13948417,0.030000,0.029785,1.541000,1,1,64,0
rmat_n25_m28,16,1,211870258,0.030000,0.006444,19.284000,1,1,64,0
sk-2005,16,1,15454568,0.030000,0.029999,5.615000,1,1,64,0
soc-flickr-und,16,1,4331365,0.030000,0.029999,0.529000,1,1,64,0
soc-sinaweibo,16,1,104000549,0.030000,0.029999,12.004000,1,1,64,0
stokes,16,1,3272905,0.030000,0.029999,1.006000,1,1,64,0
twitter-2010,16,1,634284767,0.030000,0.030000,29.931000,1,1,64,0
uk-2005,16,1,3377228,0.030000,0.029444,2.942000,1,1,64,0
vas_stokes_2M,16,1,1427299,0.030000,0.029523,0.433000,1,1,64,0
vas_stokes_4M,16,1,1816120,0.030000,0.029997,0.563000,1,1,64,0
webbase-2001,16,1,9421389,0.030000,0.030000,3.665000,1,1,64,0
