Graph,K,Seed,Cut,Epsilon,Balance,Time,NumNodes,NumMPIsPerNode,NumThreadsPerMPI,Failed
Bump_2911,16,1,2067254,0.030000,0.029995,0.475000,1,1,64,0
Cube_Coup_dt6,16,1,2135450,0.030000,0.029054,0.424000,1,1,64,0
Flan_1565,16,1,944843,0.030000,0.029949,0.392000,1,1,64,0
Geo_1438,16,1,910883,0.030000,0.029909,0.318000,1,1,64,0
HV15R,16,1,7712990,0.030000,0.029990,0.692000,1,1,64,0
Hook_1498,16,1,694973,0.030000,0.028678,0.321000,1,1,64,0
Long_Coup_dt6,16,1,1801845,0.030000,0.028198,0.344000,1,1,64,0
ML_Geer,16,1,594910,0.030000,0.029989,0.385000,1,1,64,0
Queen_4147,16,1,4948673,0.030000,0.028137,0.673000,1,1,64,0
Serena,16,1,1090170,0.030000,0.029956,0.305000,1,1,64,0
af_shell10,16,1,196925,0.030000,0.024932,0.291000,1,1,64,0
arabic-2005,16,1,1944676,0.030000,0.029999,3.930000,1,1,64,0
asia.osm,16,1,157,0.030000,0.019571,0.520000,1,1,64,0
audikw1,16,1,1400455,0.030000,0.029959,0.322000,1,1,64,0
bn-human-Jung2015_M87117515,16,1,1123743,0.030000,0.029969,0.402000,1,1,64,0
bn-human-Jung2015_M87122310,16,1,2284477,0.030000,0.029982,0.666000,1,1,64,0
bn-human-Jung2015_M87123142,16,1,1870642,0.030000,0.029976,0.530000,1,1,64,0
bn-human-Jung2015_M87126525,16,1,7134006,0.030000,0.029969,1.231000,1,1,64,0
bn-human-Jung2015_M87128519_1,16,1,14312954,0.030000,0.029971,1.442000,1,1,64,0
boneS10,16,1,260252,0.030000,0.029975,0.257000,1,1,64,0
cage15,16,1,2693486,0.030000,0.029996,0.884000,1,1,64,0
channel-500x100x100-b050,16,1,701881,0.030000,0.013974,0.493000,1,1,64,0
circuit5M,16,1,5778730,0.030000,0.029997,0.868000,1,1,64,0
com-Friendster,16,1,571665351,0.030000,0.030000,68.873000,1,1,64,0
com-lj.ungraph,16,1,6975360,0.030000,0.029998,1.771000,1,1,64,0
com-orkut.ungraph,16,1,31172054,0.030000,0.029999,2.628000,1,1,64,0
delaunay_n24,16,1,53155,0.030000,0.026833,0.743000,1,1,64,0
dewiki-2013,16,1,12695508,0.030000,0.029998,1.444000,1,1,64,0
dielFilterV3real,16,1,1100151,0.030000,0.029988,0.397000,1,1,64,0
enwiki-2022,16,1,40718676,0.030000,0.029996,4.614000,1,1,64,0
eswiki-2013,16,1,8222160,0.030000,0.029979,1.258000,1,1,64,0
europe.osm,16,1,1344,0.030000,0.023529,1.512000,1,1,64,0
frwiki-2013,16,1,11333503,0.030000,0.029999,1.500000,1,1,64,0
hollywood-2011,16,1,26657336,0.030000,0.029993,2.774000,1,1,64,0
imdb-2021,16,1,248109,0.030000,0.029999,0.416000,1,1,64,0
indochina-2004,16,1,418699,0.030000,0.029452,1.477000,1,1,64,0
it-2004,16,1,3347179,0.030000,0.026980,6.967000,1,1,64,0
itwiki-2013,16,1,9321375,0.030000,0.029990,1.320000,1,1,64,0
kmer_A2a,16,1,3871392,0.030000,0.003019,8.992000,1,1,64,0
kmer_P1a,16,1,3178347,0.030000,0.006299,7.777000,1,1,64,0
kmer_U1a,16,1,609453,0.030000,0.000000,3.154000,1,1,64,0
kmer_V1r,16,1,9488920,0.030000,0.000000,11.125000,1,1,64,0
kmer_V2a,16,1,356244,0.030000,0.000000,2.603000,1,1,64,0
kron_g500-simple-logn19,16,1,19284140,0.030000,0.029999,1.082000,1,1,64,0
