Graph,K,Seed,Cut,Epsilon,Balance,Time,NumNodes,NumMPIsPerNode,NumThreadsPerMPI,Failed
Bump_2911,16,1,2183624,0.030000,0.029995,0.563000,1,1,64,0
Cube_Coup_dt6,16,1,2178721,0.030000,0.029106,0.474000,1,1,64,0
Flan_1565,16,1,998352,0.030000,0.029990,0.452000,1,1,64,0
Geo_1438,16,1,939677,0.030000,0.029887,0.384000,1,1,64,0
HV15R,16,1,8052466,0.030000,0.029990,0.759000,1,1,64,0
Hook_1498,16,1,691761,0.030000,0.029981,0.379000,1,1,64,0
Long_Coup_dt6,16,1,1857762,0.030000,0.029874,0.398000,1,1,64,0
ML_Geer,16,1,603403,0.030000,0.028840,0.434000,1,1,64,0
Queen_4147,16,1,5009563,0.030000,0.029765,0.734000,1,1,64,0
Serena,16,1,1098862,0.030000,0.029876,0.380000,1,1,64,0
af_shell10,16,1,206950,0.030000,0.029335,0.364000,1,1,64,0
arabic-2005,16,1,1866185,0.030000,0.029903,3.742000,1,1,64,0
asia.osm,16,1,145,0.030000,0.027924,0.555000,1,1,64,0
audikw1,16,1,1424439,0.030000,0.029976,0.374000,1,1,64,0
bn-human-Jung2015_M87117515,16,1,1168338,0.030000,0.029969,0.542000,1,1,64,0
bn-human-Jung2015_M87122310,16,1,2534131,0.030000,0.029982,0.728000,1,1,64,0
bn-human-Jung2015_M87123142,16,1,2052962,0.030000,0.029976,0.564000,1,1,64,0
bn-human-Jung2015_M87126525,16,1,7749524,0.030000,0.029969,1.195000,1,1,64,0
bn-human-Jung2015_M87128519_1,16,1,14320861,0.030000,0.029971,1.598000,1,1,64,0
boneS10,16,1,252072,0.030000,0.029975,0.301000,1,1,64,0
cage15,16,1,2910481,0.030000,0.029996,0.838000,1,1,64,0
channel-500x100x100-b050,16,1,735503,0.030000,0.025276,0.556000,1,1,64,0
circuit5M,16,1,5745708,0.030000,0.027323,0.872000,1,1,64,0
com-Friendster,16,1,574801143,0.030000,0.030000,60.810000,1,1,64,0
com-lj.ungraph,16,1,6708235,0.030000,0.029998,1.283000,1,1,64,0
com-orkut.ungraph,16,1,31222015,0.030000,0.029999,2.502000,1,1,64,0
delaunay_n24,16,1,55790,0.030000,0.028821,0.741000,1,1,64,0
dewiki-2013,16,1,12675775,0.030000,0.029998,0.980000,1,1,64,0
dielFilterV3real,16,1,1222147,0.030000,0.029974,0.449000,1,1,64,0
enwiki-2022,16,1,41024142,0.030000,0.029999,3.234000,1,1,64,0
eswiki-2013,16,1,8161932,0.030000,0.029996,1.090000,1,1,64,0
europe.osm,16,1,1321,0.030000,0.022928,1.553000,1,1,64,0
frwiki-2013,16,1,11666573,0.030000,0.029987,1.009000,1,1,64,0
hollywood-2011,16,1,26623895,0.030000,0.029993,1.582000,1,1,64,0
imdb-2021,16,1,339130,0.030000,0.029999,0.420000,1,1,64,0
indochina-2004,16,1,378290,0.030000,0.029670,1.367000,1,1,64,0
it-2004,16,1,3328898,0.030000,0.028695,8.119000,1,1,64,0
itwiki-2013,16,1,9327387,0.030000,0.029990,1.033000,1,1,64,0
kmer_A2a,16,1,3804125,0.030000,0.000066,8.138000,1,1,64,0
kmer_P1a,16,1,3136167,0.030000,0.005788,7.306000,1,1,64,0
kmer_U1a,16,1,609600,0.030000,0.000000,3.081000,1,1,64,0
kmer_V1r,16,1,9505928,0.030000,0.000000,11.512000,1,1,64,0
kmer_V2a,16,1,344685,0.030000,0.000001,2.442000,1,1,64,0
kron_g500-simple-logn19,16,1,19306855,0.030000,0.029999,1.227000,1,1,64,0
kron_g500-simple-logn20,16,1,39380366,0.030000,0.029999,2.065000,1,1,64,0
kron_g500-simple-logn21,16,1,80452950,0.030000,0.029999,3.410000,1,1,64,0
ldoor,16,1,189496,0.030000,0.029977,0.288000,1,1,64,0
mawi_201512020000,16,1,17831084,0.030000,0.030000,2.155000,1,1,64,0
mycielskian19,16,1,393396244,0.030000,0.029989,10.066000,1,1,64,0
nlpkkt200,16,1,4170597,0.030000,0.028168,1.471000,1,1,64,0
nlpkkt240,16,1,6091026,0.030000,0.028739,2.394000,1,1,64,0
nv2,16,1,384979,0.030000,0.029988,0.468000,1,1,64,0
recomp_dna1GB_9,16,1,45892151,0.030000,0.029999,1.511000,1,1,64,0
